,P [W],V [mm/s],T [µm],H [µm],UTS [Mpa],YS [Mpa],YM [Gpa],EL [%],HV [HV],Machine,Grade,PSD [µm],D10 [µm],D50 [µm],D90 [µm],Supplier,O [wt%],N [wt%],H [wt%],C [wt%],Fe [wt%],Al [wt%],V [wt%],,,
Sun (2017),96,900,25,,1093,1025,,,,Concept,5,20-45,21.5,33.1,49.8,Ametek,0.166,0.017,0.002,0.012,,,,,,
Soro (2019),95,950,30,100,,978,108,,,Concept,,,,,,,,,,,,,,,,
Wang (2016),95,900,30,,,,90,,,Concept,23,15-45,15,,45,Dentaurum,,,,,,,,,,
Kasperovich (2015),200,1250,40,,1051,736,109.9,11.9,360,Concept,23,22-46,22,35,46,GE,0.13,0.05,0.012,0.08,0.25,5.5-6.5,3.5-4.5,,,
Wang (2022),200,1200,30,140,,,113,,,Concept,5,23-45,23,32.5,45.4,AP&C,0.12,0.012,0.0052,0.012,0.17,6.48,3.96,,,
Wang (2015),150,214,70,,,,115.4,,,,,,,,,,,,,,,,,,,
Wang (2015),150,376,70,,,,116.3,,,,,,,,,,,,,,,,,,,
Wang (2015),150,529,70,,,,119,,,,,,,,,,,,,,,,,,,
Wang (2015),150,689,70,,,,114.3,,,,,,,,,,,,,,,,,,,
Facchini (2010),195,225,,,1095,990,110,8.1,,EOS,23,,,,50,,0.16,0.01,0.0034,0.013,0.056,5.97,4.01,,,
Yasin (2020),291.2,1200,30,143.4,1166.45,1143.23,,12.94,360,EOS,,,,,,AP&C,,,,,,,,,,
Yasin (2020),291.2,1200,30,140,1164.24,1127.37,,11.83,370,EOS,,,,,,AP&C,,,,,,,,,,
Yasin (2020),280,1200,30,143.4,1145.44,1098.25,,11.91,370,EOS,,,,,,AP&C,,,,,,,,,,
Yasin (2020),280,1200,30,140,1148.81,1104.88,,11.87,370,EOS,,,,,,AP&C,,,,,,,,,,
Yasin (2020),280,1200,30,136.6,1145.81,1101.57,,10.84,370,EOS,,,,,,AP&C,,,,,,,,,,
Yasin (2020),268.8,1200,30,140,1159.82,1130.69,,13.16,360,EOS,,,,,,AP&C,,,,,,,,,,
Yasin (2020),268.8,1200,30,143.4,1157.24,1120.37,,11.91,370,EOS,,,,,,AP&C,,,,,,,,,,
Mezzetta (2018),180,1250,30,70,1100,1000,,7.5,379,Concept,23,20-50,23,38,52,GE,0.13,0.05,0.012,0.08,0.25,,,,,
Huang (2015),200,500,150,150,1191,970,,5.37,,,,,,,,,,,,,,,,,,
Voisin (2018),100,600,30,105,1230,1110,,,,Concept,,10.0-45,10,,45,AMA,0.19,0.023,,0.0084,,6.42,4.12,,,
Voisin (2018),250,1600,30,70,1420,1320,,,,Concept,,10.0-45,10,,45,AMA,0.19,0.023,,0.0084,,6.42,4.12,,,
Fan (2023),95,900,30,77,1138,943,106,9.2,,Concept,23,10.0-45,10,,45,Praxair,,,,,,,,,,
Simonelli (2014),157,225,50,100,1199,1075,113,7.6,,Renishaw,23,15-53,15,,53,LPW,0.13,0.03,0.0125,0.08,0.25,5.5-6.5,3.5-4.5,,,
Gong (2015),120,960,30,100,1237,1098,109,8.8,,EOS,23,17-44,17,30,44,AP&C,,,,,,,,,,
Gong (2015),120,540,30,100,1257,1150,111,8,,EOS,23,17-44,17,30,44,AP&C,,,,,,,,,,
Gong (2015),120,400,30,100,1148,1066,109,5.4,,EOS,23,17-44,17,30,44,AP&C,,,,,,,,,,
Gong (2015),120,1260,30,100,1112,932,95,6.6,,EOS,23,17-44,17,30,44,AP&C,,,,,,,,,,
Gong (2015),120,1500,30,100,978,813,84,3.7,,EOS,23,17-44,17,30,44,AP&C,,,,,,,,,,
Xu (2015),175,710,30,120,1160,991.7,,8.93,,SLM,23,25-45,25,,45,TLS,0.1,0.009,0.002,0.008,0.17,,,,,
Xu (2015),375,1029,60,120,1300,1109.8,,11.27,,SLM,23,25-45,25,,45,TLS,0.1,0.009,0.002,0.008,0.17,,,,,
Vrancken (2012),250,1600,30,60,1267,1110,109.2,7.28,,SLM,23,,,,,AP&C,,,,,,,,,,
Vandenbroucke (2007),95,90,30,100,1200,1050,91,5.5,413.49,Concept,,,,37,,,,,,,,,,,,
Vandenbroucke (2007),95,140,30,120,1250,1125,94,6,410,Concept,,,,37,,,,,,,,,,,,
Vandenbroucke (2007),95,190,30,140,1300,1200,96,6.3,386.51,Concept,,,,37,,,,,,,,,,,,
Qiu (2013),150,800,20,75,1173.91,1034.8,,8.2,,Concept,,20-50,20,,50,TLS,,,,,,,,,,
Qiu (2013),150,800,20,75,1173.91,1034.8,,8.2,,Concept,,20-50,20,,50,TLS,,,,,,,,,,
D.K.Do (2016),120,800,50,80,,,,,403,SLM,23,20-63,25,40,60,TLS,0.094,0.01,0.002,0.007,0.17,6.46,4.24,,,
D.K.Do (2016),120,400,50,80,,,,,416,SLM,23,20-63,25,40,60,TLS,0.094,0.01,0.002,0.007,0.17,6.46,4.24,,,
D.K.Do (2016),120,200,50,80,,,,,444,SLM,23,20-63,25,40,60,TLS,0.094,0.01,0.002,0.007,0.17,6.46,4.24,,,
Krakhmalev (2016),200,,30,100,1265,1098,112,9.4,,EOS,23,11.0-32,11.16,20.64,31.84,TLS,0.08,0.03,0.0125,0.08,0.25,5.5-6.5,3.5-4.5,,,
Maitra (2023),210,1500,30,90,,,,,372.59,EOS,23,20-60,20,30,60,,0.13,0.05,0.012,0.08,0.25,5.5-6.5,3.5-4.5,,,
Maitra (2023),170,900,30,90,,,,,389.62,EOS,23,20-60,20,30,60,,0.13,0.05,0.012,0.08,0.25,5.5-6.5,3.5-4.5,,,
Maitra (2023),120,600,30,90,,,,,379.28,EOS,23,20-60,20,30,60,,0.13,0.05,0.012,0.08,0.25,5.5-6.5,3.5-4.5,,,
Maitra (2023),250,800,30,90,,,,,387.36,EOS,23,20-60,20,30,60,,0.13,0.05,0.012,0.08,0.25,5.5-6.5,3.5-4.5,,,
Maitra (2023),320,1000,30,70,,,,,388.34,EOS,23,20-60,20,30,60,,0.13,0.05,0.012,0.08,0.25,5.5-6.5,3.5-4.5,,,
Maitra (2023),210,1500,30,90,,,,,387.44,EOS,23,20-60,20,30,60,,0.13,0.05,0.012,0.08,0.25,5.5-6.5,3.5-4.5,,,
Maitra (2023),170,900,30,90,,,,,391.08,EOS,23,20-60,20,30,60,,0.13,0.05,0.012,0.08,0.25,5.5-6.5,3.5-4.5,,,
Maitra (2023),120,600,30,90,,,,,372.42,EOS,23,20-60,20,30,60,,0.13,0.05,0.012,0.08,0.25,5.5-6.5,3.5-4.5,,,0.245901639
Maitra (2023),250,800,30,90,,,,,400.96,EOS,23,20-60,20,30,60,,0.13,0.05,0.012,0.08,0.25,5.5-6.5,3.5-4.5,,,0.62295082
Maitra (2023),320,1000,30,70,,,,,398.1,EOS,23,20-60,20,30,60,,0.13,0.05,0.012,0.08,0.25,5.5-6.5,3.5-4.5,,,0.131147541
Mierzejewska (2019),170,300,30,100,1162.76,1139.36,120.77,4.3,409.06,EOS,5,10.0-40,10,,40,EOS,0.195,0.036,0.01,0.061,0.24,5.97,4.04,,,
Mierzejewska (2019),170,500,30,100,1256.38,1246.63,118.98,3.57,405.71,EOS,5,10.0-40,10,,40,EOS,0.195,0.036,0.01,0.061,0.24,5.97,4.04,,,
Mierzejewska (2019),170,700,30,100,1209.57,1201.77,116.65,3.73,395.68,EOS,5,10.0-40,10,,40,EOS,0.195,0.036,0.01,0.061,0.24,5.97,4.04,,,
Mierzejewska (2019),170,900,30,100,1108.15,1069.14,113.94,4.94,383.97,EOS,5,10.0-40,10,,40,EOS,0.195,0.036,0.01,0.061,0.24,5.97,4.04,,,
Mierzejewska (2019),170,1100,30,100,1065.24,1039.89,112.15,5.31,379.79,EOS,5,10.0-40,10,,40,EOS,0.195,0.036,0.01,0.061,0.24,5.97,4.04,,,
Mierzejewska (2019),170,1300,30,100,1047.69,1024.29,111.17,5.52,372.26,EOS,5,10.0-40,10,,40,EOS,0.195,0.036,0.01,0.061,0.24,5.97,4.04,,,
Dong (2022),95,800,25,90,,,,,410,Concept,23,5.72-22.25,5.72,14.06,22.25,AP&C,0.233,,,0.026,,,,,,
Weber (2020),150,1600,20,80,1357,,,,,Trumpf,23,15-45,20.6,33.5,43,Trumpf,0.09,0.02,0.0025,0.01,0.19,6.49,3.99,,,
Haar (2021),100,600,30,105,1214,1054,116,9.18,356.65,Concept,23,23-46,23,33,46,Praxair,0.11,0.03,0.002,0.01,0.05,6.32,4.06,,,
Haar (2021),180,800,30,60,1194.34,1136.89,,9.12,356.12,Concept,23,23-46,23,33,46,Praxair,0.11,0.03,0.002,0.01,0.05,6.32,4.06,,,
Haar (2021),180,700,30,60,1213.14,1175.6,,8.6,355.22,Concept,23,23-46,23,33,46,Praxair,0.11,0.03,0.002,0.01,0.05,6.32,4.06,,,
Haar (2021),180,600,30,60,1210.79,1172.08,,7.3,356.12,Concept,23,23-46,23,33,46,Praxair,0.11,0.03,0.002,0.01,0.05,6.32,4.06,,,
Haar (2021),180,800,30,40,1224.87,1208.45,,7.16,358.63,Concept,23,23-46,23,33,46,Praxair,0.11,0.03,0.002,0.01,0.05,6.32,4.06,,,
